Numero_OL,Dia_Ocorrencia,Dia_Abertura,Status,Responsavel,Tipo_Projeto,Produto,Lote,Ensaio,Protocolo/Metodo,Parametro,Nome_Sequencia,Diretorio,Tipo_de_Erro,Ocorrencia,Avaliação,Classificação,Causa_Raiz,Criticidade,Data_atualização,Atualizado_Por,Status_Final
2025_OL_0001,01/01/2025,01/01/2025,Finalizado,Carolina Cavalcante,Solicitação de Analise,Produto_20,BAN8c0,N_304,Protocolo_19,Linearidade,SEQ_139,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Outros,Média,06/01/2025,Luara Santos,Aprovado
2025_OL_0002,01/01/2025,05/01/2025,Finalizado,Sophie Souza,Estabilidade,Produto_3,BAN7db,N_345,Protocolo_99,Degradação Forçada,SEQ_39,Banco/Solventes Residuais/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Erro Isolado,Baixa,08/01/2025,Juliana Martins,Aprovado
2025_OL_0003,02/01/2025,04/01/2025,Finalizado,Gustavo Henrique da Luz,Sumário de Validação,Produto_10,BAN83f,N_300,Protocolo_34,Linearidade,SEQ_26,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Falta de Treinamento Adequado,Média,04/01/2025,Gabriel da Rosa,Aprovado
2025_OL_0004,03/01/2025,03/01/2025,Finalizado,Davi Lucas Teixeira,Solventes Residuais,Produto_6,BAN97e,N_321,Protocolo_17,Degradação Forçada,SEQ_5,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Falta de Treinamento Adequado,Média,03/01/2025,Laís Fogaça,Aprovado
2025_OL_0005,04/01/2025,06/01/2025,Finalizado,Alexandre Vieira,Solicitação de Analise,Produto_8,BAN93e,N_343,Protocolo_16,Linearidade,SEQ_122,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,12/01/2025,Henrique Camargo,Aprovado
2025_OL_0006,04/01/2025,04/01/2025,Finalizado,Daniel Pacheco,Impurezas Elementares,Produto_1,BAN83d,N_302,Protocolo_3,Linearidade,SEQ_13,Banco/Degradação/Sequencias,Material,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Falta de Revisão ou Checagem,Média,05/01/2025,Clarice Castro,Aprovado
2025_OL_0007,04/01/2025,05/01/2025,Finalizado,Marcela Lopes,Solventes Residuais,Produto_24,BAN7ff,N_255,Protocolo_21,Linearidade,SEQ_133,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Erro Isolado,Média,06/01/2025,Luiza Pinto,Aprovado
2025_OL_0008,04/01/2025,05/01/2025,Finalizado,Manuela Guerra,Sumário de Validação,Produto_7,BAN7f9,N_272,Protocolo_18,Linearidade,SEQ_15,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Alta,07/01/2025,Pedro Lucas Rios,Aprovado
2025_OL_0009,04/01/2025,05/01/2025,Finalizado,Caio Sá,Solicitação de Analise,Produto_9,BAN97d,N_213,Protocolo_4,Linearidade,SEQ_124,Banco/Degradação/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Documentação,Procedimento ou Método Inadequado,Média,07/01/2025,Caroline Cunha,Aprovado
2025_OL_0010,06/01/2025,10/01/2025,Finalizado,Clara Castro,Sumário de Validação,Produto_12,BAN8d7,N_310,Protocolo_90,Degradação Forçada,SEQ_20,Banco/Estabilidade/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Procedimento ou Método Inadequado,Média,10/01/2025,Carlos Eduardo Teixeira,Aprovado
2025_OL_0011,06/01/2025,10/01/2025,Finalizado,Sr. Breno Cunha,Solventes Residuais,Produto_3,BAN839,N_327,Protocolo_41,Linearidade,SEQ_115,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Analítico,Procedimento ou Método Inadequado,Alta,17/01/2025,Eloah Sousa,Aprovado
2025_OL_0012,06/01/2025,09/01/2025,Finalizado,Maria Sophia Correia,Sumário de Validação,Produto_19,BAN803,N_200,Protocolo_2,Robustez,SEQ_28,Banco/Degradação/Sequencias,Meio Ambiente,Falha no equipamento,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,11/01/2025,Leandro Siqueira,Aprovado
2025_OL_0013,06/01/2025,07/01/2025,Finalizado,Henrique Viana,Liberação,Produto_20,BAN8ba,N_270,Protocolo_100,Linearidade,SEQ_47,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Erro Isolado,Média,07/01/2025,Dra. Liz Camargo,Reprovado
2025_OL_0014,06/01/2025,06/01/2025,Finalizado,Maria Isis da Cunha,Estabilidade,Produto_7,BAN961,N_257,Protocolo_34,Exatidão,SEQ_6,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Humano,Procedimento ou Método Inadequado,Baixa,09/01/2025,Alice Sousa,Aprovado
2025_OL_0015,06/01/2025,07/01/2025,Finalizado,José Pires,Solicitação de Analise,Produto_18,BAN903,N_346,Protocolo_28,Degradação Forçada,SEQ_114,Banco/Degradação/Sequencias,Máquina,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Procedimento ou Método Inadequado,Média,08/01/2025,Zoe Macedo,Aprovado
2025_OL_0016,07/01/2025,11/01/2025,Finalizado,Juan Câmara,Sumário de Validação,Produto_24,BAN80b,N_328,Protocolo_28,Estabilidade Bancada,SEQ_57,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Erro Isolado,Média,21/01/2025,Olívia Cavalcanti,Aprovado
2025_OL_0017,07/01/2025,08/01/2025,Finalizado,Danilo Fernandes,Liberação,Produto_1,BAN807,N_319,Protocolo_51,Degradação Forçada,SEQ_109,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Falta de Treinamento Adequado,Média,11/01/2025,Dante Pires,Reprovado
2025_OL_0018,08/01/2025,11/01/2025,Finalizado,Milena Gomes,Transferencia Analítica,Produto_11,BAN89c,N_325,Protocolo_99,Degradação Forçada,SEQ_46,Banco/Solventes Residuais/Sequencias,Máquina,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Humano,Sobrecarga de Trabalho,Média,14/01/2025,Felipe Sousa,Aprovado
2025_OL_0019,08/01/2025,10/01/2025,Finalizado,Sra. Isabelly Nogueira,Estabilidade,Produto_18,BAN815,N_249,Protocolo_40,Exatidão,SEQ_29,Banco/Substancias/Sequencias,Material,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Documentação,Falta de Revisão ou Checagem,Média,12/01/2025,Stella da Costa,Aprovado
2025_OL_0020,09/01/2025,13/01/2025,Finalizado,Isabela Machado,Estabilidade,Produto_6,BAN938,N_207,Protocolo_91,Linearidade,SEQ_104,Banco/Substancias/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Humano,Outros,Média,20/01/2025,Carolina Silva,Aprovado
2025_OL_0021,10/01/2025,13/01/2025,Finalizado,Ian Duarte,Solventes Residuais,Produto_9,BAN8c5,N_348,Protocolo_27,Exatidão,SEQ_89,Banco/Estabilidade/Sequencias,Máquina,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Infraestrutura/Meio Ambiente,Procedimento ou Método Inadequado,Média,15/01/2025,Igor Almeida,Aprovado
2025_OL_0022,11/01/2025,14/01/2025,Finalizado,Dr. Alexandre Pimenta,Solventes Residuais,Produto_20,BAN83b,N_270,Protocolo_16,Degradação Forçada,SEQ_122,Banco/Degradação/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Equipamento,Sobrecarga de Trabalho,Média,22/01/2025,Mateus Casa Grande,Aprovado
2025_OL_0023,11/01/2025,12/01/2025,Finalizado,Pedro Miguel Camargo,Estabilidade,Produto_14,BAN8e2,N_271,Protocolo_28,Linearidade,SEQ_38,Banco/Substancias/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Analítico,Procedimento ou Método Inadequado,Média,16/01/2025,Yan Oliveira,Aprovado
2025_OL_0024,11/01/2025,13/01/2025,Finalizado,Pedro Henrique da Rocha,Estabilidade,Produto_19,BAN9b3,N_328,Protocolo_98,Linearidade,SEQ_102,Banco/Teor/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Analítico,Erro Isolado,Média,17/01/2025,Yago Porto,Aprovado
2025_OL_0025,11/01/2025,12/01/2025,Finalizado,Rafael Fogaça,Estabilidade,Produto_17,BAN901,N_350,Protocolo_80,Exatidão,SEQ_38,Banco/Solventes Residuais/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Equipamento,Erro Isolado,Média,17/01/2025,Dra. Letícia Guerra,Aprovado
2025_OL_0026,12/01/2025,14/01/2025,Finalizado,Felipe Peixoto,Estabilidade,Produto_21,BAN837,N_298,Protocolo_7,Robustez,SEQ_15,Banco/Estabilidade/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro Analítico,Erro Isolado,Média,17/01/2025,Srta. Alícia Peixoto,Aprovado
2025_OL_0027,13/01/2025,13/01/2025,Finalizado,Lucas Melo,Solicitação de Analise,Produto_12,BAN8cd,N_215,Protocolo_26,Degradação Forçada,SEQ_26,Banco/Solventes Residuais/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro de Equipamento,Falta de Treinamento Adequado,Média,21/01/2025,Sofia da Cruz,Aprovado
2025_OL_0028,13/01/2025,17/01/2025,Finalizado,Benício Fogaça,Solicitação de Analise,Produto_24,BAN968,N_215,Protocolo_21,Precisão,SEQ_94,Banco/Substancias/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro Analítico,Sobrecarga de Trabalho,Média,19/01/2025,Maria Alice Leão,Aprovado
2025_OL_0029,14/01/2025,14/01/2025,Finalizado,Maria Vitória Souza,Liberação,Produto_3,BAN822,N_335,Protocolo_73,Robustez,SEQ_116,Banco/Degradação/Sequencias,Mão de Obra,Resultado fora do especificado,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Sobrecarga de Trabalho,Média,19/01/2025,Ryan Viana,Reprovado
2025_OL_0030,14/01/2025,15/01/2025,Finalizado,Mathias Pires,Liberação,Produto_14,BAN998,N_308,Protocolo_81,Linearidade,SEQ_66,Banco/Solventes Residuais/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Sistema ou Software,Outros,Média,18/01/2025,Laura Cirino,Aprovado
2025_OL_0031,14/01/2025,18/01/2025,Finalizado,Milena da Costa,Validação Anlítica,Produto_19,BAN7db,N_337,Protocolo_100,Exatidão,SEQ_142,Banco/Teor/Sequencias,Mão de Obra,Erro de cálculo,Avaliado pelo time de Compliance,Erro de Preparo de Solução,Sobrecarga de Trabalho,Alta,27/01/2025,Stella Montenegro,Aprovado
2025_OL_0032,15/01/2025,17/01/2025,Finalizado,Elisa da Paz,Solventes Residuais,Produto_1,BAN91e,N_258,Protocolo_20,Robustez,SEQ_75,Banco/Teor/Sequencias,Mão de Obra,Falha no equipamento,Avaliado pelo time de Compliance,Erro Humano,Falta de Treinamento Adequado,Média,20/01/2025,Ísis Cavalcanti,Aprovado
